"Division","Season","Date","HomeTeam","AwayTeam","Time","Attendance","Capacity","HomeScore","AwayScore","FullResult","HalfHomeScore","HalfAwayScore","HalfResult","HomeShots","AwayShots","HomeShotsTarget","AwayShotsTarget","HomeFouls","AwayFouls","HomeCorners","AwayCorners","HomeYellows","AwayYellows","HomeReds","AwayReds","HomeValue","AwayValue","InterBreak","Weekday","Round","Delayed","NotHomeStadium","NewCoachHome","NewCoachAway","SecondNewCoachHome","SecondNewCoachAway","ThirdNewCoachHome","ThirdNewCoachAway","HomeChampion","AwayChampion","HomeRelegated","AwayRrelegated","HomeUnempl","AwayUnempl","HHIHome","dHHIHome","AvgValueHome","StdvValueHome","MedianValueHome","HHIAway","dHHIAway","AvgValueAway","StdvValueAway","MedianValueAway","HomeGDP","AwayGDP","TransportTime","TransportKm","TVHome","TVAway","AvgAgeHome","StdvAgeHome","MedianAgeHome","MinAgeHome","MaxAgeHome","AvgAgeAway","StdvAgeAway","MedianAgeAway","MinAgeAway","MaxAgeAway","RightHome","LeftHome","BothHome","AvgHeightHome","MinHeightHome","MaxHeightHome","StdvHeightHome","RightAway","LeftAway","BothAway","AvgHeightAway","MinHeightAway","MaxHeightAway","StdvHeightAway","Month"
"D1","14_15","22/08/14","Bayern Munich","Wolfsburg","20:30",71137,75000,2,1,"H",1,0,"H",17,9,10,4,5,9,9,3,0,2,0,0,564180000,176130000,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4.7,5.4,0.0606354035868817,0.0303323732838514,17096212.1212121,17104487.4065215,1e+07,0.0638827249140047,0.0305493915806713,5870833.33333333,5620327.99804029,4250000,4.87034422373184,5.02918104067239,297,600,38044000,31331000,24.5151515151515,5.06396187046546,24,17,35,24.9333333333333,3.65087508535815,25,19,34,0.787878811359406,0.212121218442917,0,181.454544067383,169,194,7.74633359909058,0.733333349227905,0.200000002980232,0.0666666701436043,185.733337402344,172,198,6.12475681304932,8
"D1","14_15","23/08/14","Dortmund","Leverkusen","18:30",80667,80645,0,2,"A",0,1,"A",11,11,4,2,13,28,8,4,1,2,0,0,329800000,166500000,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,14.6,9.3,0.0597817612600172,0.0327547342329902,8913513.51351351,9812661.76419355,5e+06,0.0749259095596879,0.0364643710981494,6405769.23076923,6237238.15425541,3e+06,4.52648538773202,4.62044688606533,69,85,36925000,35807000,24.0285714285714,4.0125806541687,24,17,34,23.9230769230769,4.77914602061817,24,17,33,0.72972971200943,0.162162154912949,0.10810811072588,183.297302246094,170,193,5.81599760055542,0.884615361690521,0.0769230797886848,0.0384615398943424,184.576919555664,172,196,5.60837268829346,8
"D1","14_15","23/08/14","Ein Frankfurt","Freiburg","15:30",46200,51500,1,0,"H",1,0,"H",10,13,3,7,17,22,6,5,1,3,0,0,73980000,56900000,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,8.3,6.7,0.0592261184481253,0.0258927851147919,2465833.33333333,2173270.22531075,2500000,0.0578806588810882,0.0245473255477549,1896666.66666667,1627622.66989482,1375000,4.90469816233473,4.60704120620484,125,270,23498000,29093000,24.1,4.61410879802373,24,17,35,24.1333333333333,3.84476556141232,24,19,34,0.800000011920929,0.200000002980232,0,183.733337402344,170,196,6.01683473587036,0.633333325386047,0.133333340287209,0.233333334326744,183.800003051758,172,196,5.76792573928833,8
"D1","14_15","23/08/14","FC Koln","Hamburg","15:30",49959,50000,0,0,"D",0,0,"D",10,19,3,4,23,16,3,6,2,2,0,0,43330000,114950000,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,10.6,8.6,0.0593073127494557,0.0222702757124186,1604629.62962963,1244283.91270577,1500000,0.0600152192804292,0.033699429806745,3025000,3423169.89138184,2250000,4.68230581684287,4.7283618184242,241,438,20141000,24617000,24.3703703703704,3.75300519730175,24,18,31,24.7142857142857,4.30076009516014,24,18,34,0.592592597007751,0.296296298503876,0.111111111938953,182.518524169922,172,197,6.50662612915039,0.631578922271729,0.315789461135864,0.0526315793395042,182.342102050781,166,195,7.24951553344727,8
"D1","14_15","23/08/14","Hannover","Schalke 04","15:30",49000,49000,2,1,"H",0,0,"D",8,12,3,5,12,15,2,4,2,1,0,0,78050000,213380000,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,9.1,16,0.0596280821645153,0.0310566535930868,2230000,2324963.90140947,1500000,0.0665163500236285,0.0387385722458508,5927083.33333333,6999452.79359195,3750000,4.68975739838286,4.48063581177038,159,237,32450000,34688000,24.6,4.40259663640188,24,17,32,23.1428571428571,4.47213595499958,22.5,17,34,0.714285731315613,0.257142871618271,0.0285714287310839,183.457138061523,171,196,7.7964653968811,0.777777791023254,0.194444447755814,0.0277777779847383,184.944442749023,172,196,6.77788209915161,8
"D1","14_15","23/08/14","Hertha","Werder Bremen","15:30",59762,74244,2,2,"D",1,0,"H",19,9,5,5,17,18,9,5,1,2,0,0,76480000,58580000,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,13.9,11.5,0.0492411365836597,0.0159078032503263,2549166.66666667,1761018.68404499,2500000,0.0544346277876782,0.0266568500099005,1627083.33333333,1593916.11334753,1125000,4.48291029708383,4.64455651247519,183,394,21260000,26855000,25.3,3.46554469023269,26,17,32,23.0857142857143,3.94669341207154,22,17,33,0.600000023841858,0.333333343267441,0.0333333350718021,182.633331298828,173,194,6.17828989028931,0.722222208976746,0.222222223877907,0.0555555559694767,184.58332824707,169,199,7.78414154052734,8
"D1","14_15","23/08/14","Hoffenheim","Augsburg","15:30",23792,30150,2,0,"H",2,0,"H",10,12,3,2,19,15,7,3,2,3,0,0,100030000,42430000,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5.3,0.0832014565716231,0.0498681232382898,3334166.66666667,4078114.77755211,2500000,0.0511273490707196,0.0225559204992911,1212142.85714286,1077005.95947037,1e+06,4.4371447276028,4.54527724686661,215,270,25736000,22379000,23.3666666666667,3.75484871717742,24,17,30,24.5428571428571,4.91843678501242,25,17,37,0.833333313465118,0.100000001490116,0.0666666701436043,184.466659545898,172,199,6.31764554977417,0.800000011920929,0.200000002980232,0,183,174,193,5.16207885742188,8
"D1","14_15","24/08/14","M'gladbach","Stuttgart","17:30",50203,54010,1,1,"D",0,0,"D",19,7,6,3,8,16,6,3,2,1,0,0,107330000,97900000,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,12.7,6.5,0.0670345698437356,0.0299975328066985,3975000,3577352.89057478,4e+06,0.0609745409472257,0.0276412076138924,3263333.33333333,2971669.93830442,2500000,4.47718685718435,4.81620858411873,204,413,33569000,27974000,24.8518518518519,4.82050945289598,24,18,35,23.7,3.45591280754207,23.5,18,30,0.666666686534882,0.259259253740311,0.0740740746259689,182.777770996094,170,194,6.53589677810669,0.766666650772095,0.233333334326744,0,183.800003051758,171,194,6.1273832321167,8
"D1","14_15","24/08/14","Paderborn","Mainz","15:30",14824,15000,2,2,"D",1,1,"D",10,14,3,4,16,14,4,3,2,2,0,0,22450000,76900000,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,6.9,6.8,0.0487844802357131,0.0130701945214274,801785.714285714,485040.893500071,8e+05,0.0496826388618796,0.0219048610841019,2136111.11111111,1896903.95085398,1500000,4.49566350936051,4.68165297045811,238,300,19022000,30212000,25.1428571428571,3.84256504466079,25,17,33,24.0571428571429,4.02614909599854,23,17,35,0.642857134342194,0.214285716414452,0.142857149243355,184.178573608398,174,194,5.99415493011475,0.722222208976746,0.194444447755814,0.0833333358168602,182.027770996094,165,196,7.31138467788696,8
"D1","14_15","29/08/14","Augsburg","Dortmund","20:30",30660,30660,2,3,"A",0,2,"A",12,22,3,9,9,12,3,6,2,3,0,0,42430000,329800000,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,5.3,14.6,0.0511273490707196,0.0225559204992911,1212142.85714286,1077005.95947037,1e+06,0.0597817612600172,0.0327547342329902,8913513.51351351,9812661.76419355,5e+06,4.54527724686661,4.52648538773202,318,575,22379000,36925000,24.5428571428571,4.91843678501242,25,17,37,24.0285714285714,4.0125806541687,24,17,34,0.800000011920929,0.200000002980232,0,183,174,193,5.16207885742188,0.72972971200943,0.162162154912949,0.10810811072588,183.297302246094,170,193,5.81599760055542,8
"D1","14_15","30/08/14","Hamburg","Paderborn","15:30",54553,57000,0,3,"A",0,1,"A",13,15,4,7,16,16,8,3,0,0,0,0,114950000,22450000,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,8.6,6.9,0.0600152192804292,0.033699429806745,3025000,3423169.89138184,2250000,0.0487844802357131,0.0130701945214274,801785.714285714,485040.893500071,8e+05,4.7283618184242,4.49566350936051,202,298,24617000,19022000,24.7142857142857,4.30076009516014,24,18,34,25.1428571428571,3.84256504466079,25,17,33,0.631578922271729,0.315789461135864,0.0526315793395042,182.342102050781,166,195,7.24951553344727,0.642857134342194,0.214285716414452,0.142857149243355,184.178573608398,174,194,5.99415493011475,8
"D1","14_15","30/08/14","Leverkusen","Hertha","15:30",27819,30210,4,2,"H",0,1,"A",21,3,7,1,11,20,5,6,0,1,0,0,166500000,76480000,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,9.3,13.9,0.0749259095596879,0.0364643710981494,6405769.23076923,6237238.15425541,3e+06,0.0492411365836597,0.0159078032503263,2549166.66666667,1761018.68404499,2500000,4.62044688606533,4.48291029708383,282,555,35807000,21260000,23.9230769230769,4.77914602061817,24,17,33,25.3,3.46554469023269,26,17,32,0.884615361690521,0.0769230797886848,0.0384615398943424,184.576919555664,172,196,5.60837268829346,0.600000023841858,0.333333343267441,0.0333333350718021,182.633331298828,173,194,6.17828989028931,8
"D1","14_15","30/08/14","Schalke 04","Bayern Munich","18:30",61973,61973,1,1,"D",0,1,"A",8,10,4,4,15,15,1,3,4,1,0,0,213380000,564180000,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,16,4.7,0.0665163500236285,0.0387385722458508,5927083.33333333,6999452.79359195,3750000,0.0606354035868817,0.0303323732838514,17096212.1212121,17104487.4065215,1e+07,4.48063581177038,4.87034422373184,314,635,34688000,38044000,23.1428571428571,4.47213595499958,22.5,17,34,24.5151515151515,5.06396187046546,24,17,35,0.777777791023254,0.194444447755814,0.0277777779847383,184.944442749023,172,196,6.77788209915161,0.787878811359406,0.212121218442917,0,181.454544067383,169,194,7.74633359909058,8
"D1","14_15","30/08/14","Stuttgart","FC Koln","15:30",55000,60441,0,2,"A",0,2,"A",14,10,5,4,11,11,7,4,1,2,0,0,97900000,43330000,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,6.5,10.6,0.0609745409472257,0.0276412076138924,3263333.33333333,2971669.93830442,2500000,0.0593073127494557,0.0222702757124186,1604629.62962963,1244283.91270577,1500000,4.81620858411873,4.68230581684287,133,369,27974000,20141000,23.7,3.45591280754207,23.5,18,30,24.3703703703704,3.75300519730175,24,18,31,0.766666650772095,0.233333334326744,0,183.800003051758,171,194,6.1273832321167,0.592592597007751,0.296296298503876,0.111111111938953,182.518524169922,172,197,6.50662612915039,8
"D1","14_15","30/08/14","Werder Bremen","Hoffenheim","15:30",38900,42100,1,1,"D",0,1,"A",15,12,1,1,20,13,6,6,3,0,0,0,58580000,100030000,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,11.5,5,0.0544346277876782,0.0266568500099005,1627083.33333333,1593916.11334753,1125000,0.0832014565716231,0.0498681232382898,3334166.66666667,4078114.77755211,2500000,4.64455651247519,4.4371447276028,331,557,26855000,25736000,23.0857142857143,3.94669341207154,22,17,33,23.3666666666667,3.75484871717742,24,17,30,0.722222208976746,0.222222223877907,0.0555555559694767,184.58332824707,169,199,7.78414154052734,0.833333313465118,0.100000001490116,0.0666666701436043,184.466659545898,172,199,6.31764554977417,8
